ride rode ridden ехать(верхом)/ехать
beat beat beaten бить/ударять
be was/were been быть/являться
rise rose risen подниматься/вставать
break broke broken ломать/прерывать/разбивать
choose chose chosen выбирать
drive drove driven ехать/водить
choose chose chosen выбирать
give gave given давать
forget forgot forgotten забывать
forgive forgave forgiven прощать
freeze froze frozen замораживать/замерзать
take took taken брать
give gave given давать
fall fell fallen падать
see saw seen видеть
shake shook shaken трясти,встряхивать,пожимать(руку)
speak spoke spoken говорить
write wrote written писать
eat ate eaten есть(еду)
forbid forbade forbidden запрещать/не_позволять
hide hid hidden прятать/скрывать
prove proved proven доказывать/проверять
steal stole stolen красть/воровать
wake woke woken просыпаться
